iter	Passed	Remaining
0	58	58612
1	60	29988
2	61	20583
3	63	15797
4	64	12908
5	66	11013
6	67	9623
7	69	8609
8	70	7795
9	72	7208
10	74	6708
11	76	6271
12	77	5890
13	79	5579
14	80	5308
15	82	5063
16	83	4842
17	85	4666
18	87	4492
19	90	4438
20	91	4268
21	92	4119
22	94	3998
23	94	3860
24	95	3732
25	96	3609
26	96	3494
27	97	3387
28	98	3285
29	98	3191
30	99	3104
31	99	3020
32	100	2940
33	100	2862
34	101	2791
35	101	2722
36	102	2656
37	102	2594
38	102	2533
39	103	2476
40	103	2422
41	103	2369
42	104	2319
43	104	2271
44	104	2226
45	105	2182
46	105	2139
47	105	2099
48	106	2065
49	106	2030
50	107	1994
51	107	1959
52	107	1925
53	108	1893
54	108	1861
55	108	1832
56	109	1803
57	109	1776
58	109	1749
59	109	1723
60	110	1697
61	110	1672
62	110	1648
63	111	1625
64	111	1603
65	111	1581
66	112	1560
67	112	1537
68	112	1517
69	112	1498
70	113	1479
71	113	1461
72	113	1444
73	113	1426
74	114	1409
75	114	1393
76	114	1376
77	115	1361
78	115	1345
79	115	1330
80	116	1316
81	116	1302
82	116	1288
83	116	1274
84	117	1260
85	117	1247
86	117	1233
87	117	1221
88	118	1209
89	118	1197
90	118	1186
91	119	1175
92	119	1164
93	119	1153
94	119	1142
95	120	1132
96	120	1121
97	120	1111
98	121	1102
99	121	1092
100	121	1083
101	121	1072
102	122	1063
103	122	1055
104	122	1046
105	123	1037
106	123	1029
107	123	1022
108	124	1014
109	124	1006
110	124	998
111	125	991
112	125	983
113	125	976
114	125	968
115	126	961
116	126	954
117	126	947
118	127	940
119	127	933
120	127	927
121	127	920
122	128	913
123	128	907
124	128	900
125	129	894
126	129	889
127	129	883
128	129	877
129	130	872
130	130	866
131	130	860
132	131	855
133	131	849
134	131	844
135	132	838
136	132	833
137	132	827
138	132	822
139	133	817
140	133	812
141	133	808
142	134	803
143	134	798
144	134	793
145	134	789
146	135	784
147	135	780
148	135	775
149	136	771
150	136	767
151	136	762
152	137	758
153	137	754
154	137	750
155	137	746
156	138	742
157	138	738
158	138	734
159	139	730
160	139	726
161	139	723
162	140	719
163	140	715
164	140	712
165	141	709
166	141	705
167	141	702
168	142	698
169	142	695
170	142	691
171	142	688
172	143	684
173	143	681
174	143	678
175	144	675
176	144	671
177	144	668
178	145	665
179	145	662
180	145	658
181	145	655
182	146	652
183	146	649
184	146	646
185	147	643
186	147	640
187	147	637
188	147	634
189	148	632
190	148	629
191	149	627
192	149	624
193	149	622
194	150	619
195	150	616
196	150	613
197	150	611
198	151	608
199	151	605
200	151	603
201	152	600
202	152	598
203	152	595
204	152	593
205	153	590
206	153	588
207	153	586
208	154	583
209	154	581
210	154	578
211	155	576
212	155	574
213	155	571
214	155	569
215	156	567
216	156	564
217	156	562
218	157	560
219	157	558
220	157	556
221	158	554
222	158	552
223	158	550
224	159	548
225	159	546
226	159	543
227	160	541
228	160	540
229	160	537
230	160	535
231	161	533
232	161	531
233	161	529
234	162	528
235	162	526
236	162	524
237	163	522
238	163	520
239	163	518
240	164	516
241	164	514
242	164	512
243	164	510
244	165	509
245	165	507
246	165	505
247	166	504
248	166	502
249	166	500
250	167	498
251	167	496
252	167	495
253	167	493
254	168	491
255	168	489
256	168	488
257	169	486
258	169	484
259	169	483
260	170	481
261	170	479
262	170	478
263	170	476
264	171	475
265	171	473
266	171	471
267	172	470
268	172	468
269	172	466
270	172	465
271	173	463
272	173	462
273	173	460
274	174	459
275	174	457
276	174	456
277	175	454
278	175	453
279	175	451
280	175	450
281	176	448
282	176	447
283	176	445
284	177	444
285	177	442
286	177	441
287	178	440
288	178	438
289	178	437
290	178	435
291	179	434
292	179	433
293	179	431
294	180	430
295	180	429
296	180	427
297	181	426
298	181	425
299	181	423
300	181	422
301	182	421
302	182	419
303	182	418
304	183	417
305	183	415
306	183	414
307	184	413
308	184	412
309	184	410
310	184	409
311	185	408
312	187	412
313	188	412
314	189	411
315	189	410
316	189	408
317	190	407
318	190	406
319	190	405
320	190	403
321	191	402
322	191	401
323	191	400
324	192	398
325	192	398
326	192	396
327	193	395
328	193	394
329	193	393
330	194	392
331	194	391
332	194	390
333	195	389
334	195	388
335	195	386
336	196	385
337	196	384
338	196	383
339	196	382
340	197	381
341	197	380
342	197	379
343	198	377
344	198	376
345	198	375
346	199	374
347	199	373
348	199	372
349	199	371
350	200	370
351	200	368
352	200	367
353	200	366
354	201	365
355	201	364
356	201	363
357	202	362
358	202	361
359	202	360
360	203	359
361	203	358
362	203	357
363	203	356
364	204	355
365	204	354
366	204	353
367	205	352
368	205	351
369	205	350
370	206	349
371	206	348
372	206	347
373	207	346
374	207	345
375	207	344
376	208	343
377	208	342
378	208	341
379	208	340
380	209	339
381	209	339
382	209	338
383	210	337
384	210	336
385	210	335
386	211	334
387	211	333
388	211	332
389	212	331
390	212	330
391	212	329
392	212	328
393	213	328
394	213	327
395	213	326
396	214	325
397	214	324
398	214	323
399	215	322
400	215	321
401	215	320
402	216	320
403	216	319
404	216	318
405	217	317
406	217	316
407	217	315
408	217	315
409	218	314
410	218	313
411	218	312
412	219	311
413	219	310
414	219	309
415	220	308
416	220	308
417	220	307
418	221	306
419	221	305
420	221	304
421	221	304
422	222	303
423	222	302
424	222	301
425	223	300
426	223	299
427	223	299
428	224	298
429	224	297
430	224	296
431	225	296
432	225	295
433	225	294
434	226	293
435	226	292
436	226	291
437	226	291
438	227	290
439	227	289
440	227	288
441	228	288
442	228	287
443	228	286
444	229	285
445	229	285
446	229	284
447	230	283
448	230	282
449	230	282
450	231	281
451	231	280
452	231	279
453	232	279
454	232	278
455	232	277
456	233	277
457	233	276
458	233	275
459	234	274
460	234	274
461	234	273
462	235	272
463	235	272
464	235	271
465	236	270
466	236	269
467	236	269
468	236	268
469	237	267
470	237	266
471	237	266
472	238	265
473	238	264
474	238	264
475	239	263
476	239	262
477	239	261
478	240	261
479	240	260
480	240	259
481	241	259
482	241	258
483	241	257
484	242	257
485	242	256
486	242	255
487	242	254
488	243	254
489	243	253
490	243	252
491	244	252
492	244	251
493	245	251
494	245	250
495	245	249
496	245	248
497	246	248
498	246	247
499	246	246
500	247	246
501	247	245
502	247	244
503	248	244
504	248	243
505	248	243
506	249	242
507	249	241
508	249	241
509	250	240
510	250	239
511	250	239
512	252	239
513	252	238
514	253	238
515	253	237
516	253	236
517	253	236
518	254	235
519	254	234
520	254	234
521	255	233
522	255	232
523	255	232
524	256	231
525	256	231
526	256	230
527	257	229
528	257	229
529	257	228
530	257	227
531	258	227
532	258	226
533	258	225
534	259	225
535	259	224
536	259	223
537	260	223
538	260	222
539	260	222
540	260	221
541	261	220
542	261	220
543	261	219
544	262	218
545	262	218
546	262	217
547	263	216
548	263	216
549	263	215
550	264	215
551	264	214
552	264	213
553	264	213
554	265	212
555	265	212
556	265	211
557	266	210
558	266	210
559	266	209
560	267	209
561	267	208
562	267	207
563	268	207
564	268	206
565	268	205
566	268	205
567	269	204
568	269	204
569	269	203
570	270	203
571	270	202
572	270	201
573	271	201
574	271	200
575	274	201
576	274	201
577	275	200
578	275	200
579	275	199
580	275	199
581	276	198
582	276	197
583	276	197
584	277	196
585	277	195
586	277	195
587	278	194
588	278	194
589	278	193
590	278	193
591	279	192
592	279	191
593	279	191
594	280	190
595	280	190
596	280	189
597	281	188
598	281	188
599	281	187
600	282	187
601	282	186
602	282	186
603	282	185
604	283	184
605	283	184
606	283	183
607	284	183
608	284	182
609	284	182
610	285	181
611	285	180
612	285	180
613	286	179
614	286	179
615	286	178
616	286	178
617	287	177
618	287	176
619	287	176
620	288	175
621	288	175
622	288	174
623	289	174
624	289	173
625	289	173
626	290	172
627	290	172
628	290	171
629	291	170
630	291	170
631	291	169
632	292	169
633	292	168
634	292	168
635	292	167
636	293	167
637	293	166
638	293	166
639	294	165
640	294	164
641	294	164
642	295	163
643	295	163
644	295	162
645	296	162
646	296	161
647	296	161
648	296	160
649	297	160
650	297	159
651	297	159
652	298	158
653	298	157
654	299	157
655	299	156
656	299	156
657	300	155
658	300	155
659	300	154
660	300	154
661	301	153
662	301	153
663	301	152
664	302	152
665	302	151
666	302	151
667	303	150
668	303	150
669	303	149
670	304	149
671	304	148
672	304	148
673	305	147
674	305	147
675	305	146
676	306	146
677	306	145
678	306	145
679	307	144
680	307	143
681	307	143
682	308	142
683	308	142
684	308	141
685	309	141
686	309	140
687	309	140
688	310	139
689	310	139
690	310	138
691	311	138
692	311	137
693	311	137
694	312	136
695	312	136
696	312	135
697	312	135
698	313	134
699	313	134
700	313	133
701	314	133
702	314	132
703	314	132
704	315	131
705	315	131
706	315	130
707	316	130
708	316	129
709	316	129
710	317	128
711	317	128
712	317	127
713	318	127
714	318	126
715	318	126
716	319	125
717	319	125
718	319	124
719	320	124
720	320	123
721	320	123
722	321	123
723	321	122
724	321	122
725	322	121
726	322	121
727	322	120
728	322	120
729	323	119
730	323	119
731	323	118
732	324	118
733	324	117
734	324	117
735	325	116
736	325	116
737	325	115
738	326	115
739	326	114
740	326	114
741	327	113
742	327	113
743	327	112
744	328	112
745	328	111
746	328	111
747	328	110
748	329	110
749	329	109
750	329	109
751	330	108
752	330	108
753	330	107
754	331	107
755	331	106
756	331	106
757	332	106
758	332	105
759	332	105
760	333	104
761	333	104
762	333	103
763	334	103
764	334	102
765	334	102
766	335	101
767	335	101
768	335	100
769	336	100
770	336	99
771	336	99
772	337	98
773	337	98
774	337	97
775	337	97
776	338	97
777	338	96
778	338	96
779	339	95
780	339	95
781	339	94
782	340	94
783	340	93
784	340	93
785	341	92
786	341	92
787	341	91
788	342	91
789	342	91
790	342	90
791	343	90
792	343	89
793	343	89
794	344	88
795	344	88
796	344	87
797	345	87
798	345	86
799	345	86
800	346	86
801	346	85
802	346	85
803	347	84
804	347	84
805	347	83
806	348	83
807	348	82
808	348	82
809	349	81
810	349	81
811	349	80
812	350	80
