iter	Passed	Remaining
0	61	61855
1	62	31387
2	63	21138
3	64	16021
4	65	13018
5	66	10938
6	66	9434
7	66	8304
8	67	7434
9	67	6725
10	68	6142
11	69	5717
12	69	5302
13	70	4942
14	70	4633
15	71	4369
16	72	4173
17	72	3960
18	73	3769
19	73	3596
20	74	3461
21	75	3363
22	76	3233
23	76	3115
24	77	3005
25	77	2903
26	77	2807
27	79	2757
28	80	2686
29	80	2607
30	80	2529
31	81	2459
32	82	2422
33	83	2361
34	84	2338
35	85	2284
36	85	2231
37	86	2180
38	86	2130
39	86	2084
40	87	2039
41	87	1997
42	88	1972
43	89	1938
44	89	1902
45	89	1866
46	90	1836
47	91	1805
48	92	1787
49	92	1758
50	92	1729
51	93	1705
52	94	1681
53	94	1658
54	95	1635
55	95	1611
56	96	1602
57	97	1584
58	99	1583
59	99	1564
60	100	1545
61	100	1525
62	101	1508
63	101	1490
64	103	1487
65	103	1469
66	104	1453
67	106	1459
68	107	1447
69	107	1430
70	108	1415
71	108	1399
72	110	1405
73	111	1390
74	112	1384
75	113	1384
76	114	1370
77	114	1356
78	116	1354
79	116	1341
80	117	1328
81	118	1329
82	118	1314
83	119	1302
84	126	1358
85	126	1347
86	127	1334
87	127	1321
88	130	1336
89	130	1324
90	131	1311
91	131	1299
92	133	1299
93	133	1288
94	134	1276
95	134	1265
96	134	1254
97	135	1243
98	135	1233
99	136	1224
100	136	1214
101	136	1205
102	137	1194
103	137	1187
104	138	1178
105	138	1168
106	139	1161
107	139	1152
108	139	1143
109	140	1134
110	140	1126
111	141	1119
112	141	1110
113	141	1102
114	143	1104
115	144	1098
116	144	1090
117	144	1082
118	145	1075
119	145	1068
120	146	1061
121	146	1054
122	147	1052
123	148	1046
124	148	1038
125	150	1042
126	150	1035
127	150	1028
128	151	1021
129	151	1015
130	152	1008
131	152	1002
132	152	996
133	154	997
134	154	991
135	155	985
136	155	979
137	156	978
138	157	973
139	157	966
140	157	960
141	157	954
142	158	948
143	158	942
144	158	936
145	160	935
146	160	930
147	160	925
148	161	919
149	161	914
150	161	908
151	162	904
152	163	903
153	163	899
154	164	894
155	164	889
156	164	885
157	165	880
158	165	875
159	165	870
160	166	865
161	166	860
162	166	855
163	166	851
164	167	846
165	167	842
166	167	837
167	169	840
168	171	841
169	171	837
170	171	833
171	172	828
172	172	824
173	172	820
174	173	816
175	173	812
176	173	808
177	174	804
178	174	800
179	174	796
180	175	792
181	175	788
182	175	785
183	176	781
184	176	777
185	176	774
186	177	770
187	177	766
188	177	762
189	179	765
190	180	763
191	180	759
192	180	756
193	181	752
194	182	751
195	182	748
196	182	745
197	183	741
198	183	739
199	183	735
200	184	732
201	184	728
202	185	726
203	185	723
204	185	720
205	186	717
206	186	714
207	186	711
208	187	707
209	187	704
210	187	701
211	188	698
212	188	696
213	188	693
214	189	690
215	189	687
216	189	684
217	190	681
218	190	678
219	190	675
220	191	673
221	191	670
222	191	668
223	192	665
224	192	662
225	192	660
226	193	657
227	193	656
228	194	654
229	194	651
230	195	649
231	195	647
232	195	644
233	196	641
234	196	639
235	196	636
236	196	634
237	197	631
238	197	629
239	197	626
240	198	624
241	198	622
242	198	619
243	199	617
244	199	615
245	200	613
246	200	611
247	200	609
248	201	607
249	201	604
250	201	602
251	202	600
252	202	598
253	202	595
254	203	593
255	203	591
256	204	589
257	204	587
258	204	585
259	206	586
260	206	584
261	206	582
262	207	580
263	207	578
264	207	576
265	208	574
266	208	572
267	208	570
268	209	567
269	209	566
270	209	564
271	210	562
272	210	560
273	210	558
274	211	557
275	212	558
276	213	556
277	213	554
278	213	552
279	214	550
280	214	548
281	214	546
282	215	544
283	215	544
284	216	542
285	216	540
286	216	539
287	217	537
288	217	535
289	217	533
290	218	531
291	218	530
292	220	531
293	220	529
294	220	527
295	221	525
296	221	524
297	221	522
298	222	520
299	222	519
300	222	517
301	223	516
302	223	514
303	223	512
304	224	510
305	224	509
306	224	507
307	226	508
308	227	508
309	227	506
310	228	505
311	228	503
312	228	502
313	229	500
314	229	499
315	229	497
316	230	496
317	230	494
318	231	493
319	231	491
320	231	490
321	232	488
322	232	487
323	232	485
324	233	484
325	233	482
326	233	481
327	234	479
328	234	478
329	234	476
330	235	475
331	235	474
332	235	472
333	236	471
334	236	470
335	237	469
336	237	467
337	238	466
338	238	464
339	238	463
340	239	461
341	239	460
342	240	461
343	241	459
344	241	458
345	241	456
346	244	459
347	245	460
348	246	459
349	246	458
350	247	457
351	247	455
352	247	454
353	248	453
354	248	451
355	249	450
356	249	449
357	249	448
358	250	446
359	250	445
360	250	444
361	252	444
362	252	443
363	252	441
364	253	440
365	253	439
366	253	437
367	254	436
368	254	434
369	254	433
370	255	432
371	256	432
372	256	431
373	256	429
374	257	428
375	257	427
376	258	426
377	258	425
378	259	424
379	259	423
380	259	422
381	260	420
382	260	419
383	261	418
384	261	417
385	261	416
386	261	414
387	263	414
388	263	413
389	264	414
390	265	413
391	265	412
392	265	410
393	266	409
394	266	408
395	266	407
396	267	406
397	267	405
398	268	404
399	268	402
400	268	401
401	269	400
402	269	399
403	269	398
404	270	397
405	270	396
406	271	395
407	271	394
408	272	393
409	272	392
410	273	391
411	273	390
412	273	389
413	274	388
414	276	389
415	276	387
416	277	387
417	277	386
418	277	385
419	278	384
420	278	382
421	278	381
422	279	380
423	279	379
424	279	378
425	280	377
426	280	376
427	280	375
428	281	374
429	282	373
430	282	372
431	282	371
432	283	370
433	283	369
434	283	368
435	284	367
436	284	366
437	284	365
438	285	364
439	285	363
440	286	362
441	286	361
442	286	360
443	287	359
444	287	358
445	288	357
446	288	356
447	288	356
448	289	355
449	289	354
450	290	353
451	290	352
452	290	350
453	290	349
454	292	350
455	292	349
456	293	348
457	293	347
458	293	346
459	294	345
460	294	344
461	295	343
462	295	342
463	295	341
464	296	340
465	296	339
466	296	338
467	297	337
468	297	336
469	298	336
470	299	335
471	299	334
472	299	333
473	300	333
474	303	335
475	303	334
476	303	333
477	304	332
478	304	331
479	304	330
480	305	329
481	305	328
482	305	327
483	306	326
484	306	325
485	307	324
486	307	324
487	308	323
488	309	323
489	309	322
490	310	321
491	310	320
492	310	319
493	311	318
494	311	317
495	312	317
496	312	316
497	312	315
498	313	314
499	313	313
500	313	312
501	314	311
502	314	310
503	316	311
504	316	310
505	316	309
506	317	308
507	317	307
508	317	306
509	318	305
510	318	304
511	318	304
512	320	304
513	320	303
514	322	303
515	322	302
516	323	301
517	323	300
518	323	300
519	324	299
520	324	298
521	324	297
522	325	296
523	325	295
524	325	294
525	326	293
526	326	292
527	326	291
528	326	291
529	328	291
530	329	290
531	329	289
532	329	289
533	330	288
534	330	287
535	330	286
536	331	285
537	331	284
538	331	283
539	332	283
540	332	282
541	332	281
542	333	280
543	334	280
544	334	279
545	334	278
546	335	277
547	335	276
548	335	275
549	336	275
550	336	274
551	336	273
552	337	272
553	337	271
554	338	271
555	338	270
556	338	269
557	339	268
558	340	268
559	341	267
560	341	267
561	341	266
562	342	265
563	342	264
564	342	264
565	343	263
566	343	262
567	343	261
568	344	260
569	344	260
570	345	259
571	345	258
572	345	257
573	346	256
574	346	256
575	347	255
576	347	254
577	347	253
578	348	253
579	348	252
580	348	251
581	349	250
582	349	249
583	349	249
584	350	248
585	350	247
586	351	247
587	351	246
588	351	245
589	352	244
590	352	243
591	352	243
592	353	242
593	353	241
594	353	240
595	354	240
596	354	239
597	354	238
598	354	237
599	355	236
600	355	236
601	356	235
602	356	234
603	356	233
604	357	233
605	358	232
606	358	232
607	358	231
608	359	230
609	359	229
610	359	229
611	360	228
612	360	227
613	360	226
614	361	226
615	361	225
616	362	224
617	362	224
618	362	223
619	363	222
620	363	222
621	364	221
622	364	220
623	365	220
624	365	219
625	365	218
626	366	217
627	366	217
628	366	216
629	368	216
630	369	215
631	369	215
632	369	214
633	370	213
634	371	213
635	371	212
636	371	211
637	372	211
638	372	210
639	372	209
640	372	208
641	373	208
642	373	207
643	374	206
644	374	206
645	374	205
646	375	204
647	375	204
648	375	203
649	377	203
650	377	202
651	377	201
652	378	200
653	378	200
654	378	199
655	379	198
656	379	198
657	380	197
658	380	196
659	380	196
660	381	195
661	381	194
662	381	194
663	382	193
664	382	192
665	382	191
666	383	191
667	383	190
668	383	189
669	384	189
670	384	188
671	384	187
672	385	187
673	385	186
674	385	185
675	386	185
676	386	184
677	386	183
678	387	183
679	387	182
680	388	182
681	388	181
682	389	180
683	389	179
684	389	179
685	390	178
686	390	177
687	390	177
688	391	176
689	391	176
690	392	175
691	392	174
692	392	173
693	393	173
694	394	172
695	394	172
696	394	171
697	395	170
698	395	170
699	395	169
700	395	168
701	396	168
702	397	167
703	397	167
704	397	166
705	398	165
706	398	165
707	398	164
708	399	163
709	399	163
710	399	162
711	400	161
712	400	161
713	400	160
714	401	159
715	401	159
716	401	158
717	402	158
718	404	157
719	404	157
720	404	156
721	405	156
722	406	155
723	406	155
724	407	154
725	407	153
726	407	153
727	408	152
728	408	151
729	408	151
730	409	150
731	409	149
732	409	149
733	410	148
734	410	148
735	410	147
736	411	146
737	411	146
738	411	145
739	412	144
740	412	144
741	412	143
742	413	142
743	413	142
744	413	141
745	414	141
746	414	140
747	415	139
748	415	139
749	416	138
750	416	138
751	417	137
752	417	136
